x,z,ee
-47.5,5.5,2.794843746
-47.5,6,2.777713336
-47.5,6.5,2.75935896
-47.5,7,2.739840898
-47.5,7.5,2.719221976
-47.5,8,2.697567134
-47.5,8.5,2.674942987
-47.5,9,2.651417401
-47.5,9.5,2.627059062
-47.5,10,2.601937073
-47.5,10.5,2.576120557
-47.5,11,2.549678288
-47.5,11.5,2.52267834
-47.5,12,2.495187765
-47.5,12.5,2.467272296
-47.5,13,2.438996086
-47.5,13.5,2.410421467
-47.5,14,2.381608748
-47.5,14.5,2.352616034
-47.5,15,2.323499088
-47.5,15.5,2.294311204
-47.5,16,2.265103121
-47.5,16.5,2.235922959
-47.5,17,2.20681617
-47.5,17.5,2.177825525
-47.5,18,2.148991111
-47.5,18.5,2.120350345
-47.5,19,2.091938013
-47.5,19.5,2.063786312
-47.5,20,2.035924912
-47,-20,2.07087618
-47,-19.5,2.10014615
-47,-19,2.1297418
-47,-18.5,2.159632525
-47,-18,2.189784979
-47,-17.5,2.220162992
-47,-17,2.250727517
-47,-16.5,2.281436577
-47,-16,2.312245239
-47,-15.5,2.343105598
-47,-15,2.373966792
-47,-14.5,2.404775034
-47,-14,2.435473671
-47,-13.5,2.466003275
-47,-13,2.49630176
-47,-12.5,2.526304532
-47,-12,2.555944674
-47,-11.5,2.585153164
-47,-11,2.613859129
-47,-10.5,2.641990128
-47,-10,2.669472478
-47,-9.5,2.696231601
-47,-9,2.722192416
-47,-8.5,2.747279744
-47,-8,2.771418743
-47,-7.5,2.794535371
-47,-7,2.81655685
-47,-6.5,2.83741215
-47,-6,2.857032481
-47,-5.5,2.875351773
-47,-5,2.892307162
-47,-4.5,2.907839452
-47,-4,2.921893572
-47,-3.5,2.934418993
-47,-3,2.945370131
-47,-2.5,2.954706704
-47,-2,2.962394059
-47,-1.5,2.968403446
-47,-1,2.97271226
-47,-0.5,2.975304216
-47,0,2.976169492
-47,0.5,2.975304803
-47,1,2.972713431
-47,1.5,2.968405197
-47,2,2.962396381
-47,2.5,2.954709588
-47,3,2.945373564
-47,3.5,2.93442296
-47,4,2.921898057
-47,4.5,2.907844436
-47,5,2.892312624
-47,5.5,2.875357693
-47,6,2.857038834
-47,6.5,2.837418913
-47,7,2.816563996
-47,7.5,2.794542876
-47,8,2.77142658
-47,8.5,2.747287885
-47,9,2.722200835
-47,9.5,2.696240271
-47,10,2.669481372
-47,10.5,2.64199922
-47,11,2.613868393
-47,11.5,2.585162575
-47,12,2.555954207
-47,12.5,2.526314163
-47,13,2.496311467
-47,13.5,2.466013037
-47,14,2.435483466
-47,14.5,2.404784842
-47,15,2.373976595
-47,15.5,2.343115379
-47,16,2.312254981
-47,16.5,2.281446266
-47,17,2.250737138
-47,17.5,2.220172532
-47,18,2.189794426
-47,18.5,2.159641869
-47,19,2.129751029
-47,19.5,2.100155257
-47,20,2.070885156
-46.5,-20,2.106984664
-46.5,-19.5,2.137736414
-46.5,-19,2.168852762
-46.5,-18.5,2.200302226
-46.5,-18,2.232050342
-46.5,-17.5,2.264059578
-46.5,-17,2.296289255
-46.5,-16.5,2.328695478
-46.5,-16,2.361231097
-46.5,-15.5,2.393845675
-46.5,-15,2.426485491
-46.5,-14.5,2.459093558
-46.5,-14,2.491609681
-46.5,-13.5,2.523970538
-46.5,-13,2.556109796
-46.5,-12.5,2.587958269
-46.5,-12,2.619444106
-46.5,-11.5,2.650493021
-46.5,-11,2.681028566
-46.5,-10.5,2.710972437
-46.5,-10,2.740244827
-46.5,-9.5,2.76876481
-46.5,-9,2.796450763
-46.5,-8.5,2.823220822
-46.5,-8,2.848993367
-46.5,-7.5,2.873687528
-46.5,-7,2.897223712
-46.5,-6.5,2.919524145
-46.5,-6,2.940513418
-46.5,-5.5,2.960119033
-46.5,-5,2.978271947
-46.5,-4.5,2.994907094
-46.5,-4,3.009963896
-46.5,-3.5,3.023386742
-46.5,-3,3.035125433
-46.5,-2.5,3.045135589
-46.5,-2,3.053379018
-46.5,-1.5,3.059824026
-46.5,-1,3.064445682
-46.5,-0.5,3.067226029
-46.5,0,3.06815423
-46.5,0.5,3.067226662
-46.5,1,3.064446946
-46.5,1.5,3.059825914
-46.5,2,3.053381523
-46.5,2.5,3.045138699
-46.5,3,3.035129133
-46.5,3.5,3.023391017
-46.5,4,3.009968727
-46.5,4.5,2.99491246
-46.5,5,2.978277826
-46.5,5.5,2.960125401
-46.5,6,2.940520248
-46.5,6.5,2.919531411
-46.5,7,2.897231386
-46.5,7.5,2.873695581
-46.5,8,2.849001771
-46.5,8.5,2.823229547
-46.5,9,2.796459779
-46.5,9.5,2.768774088
-46.5,10,2.740254338
-46.5,10.5,2.710982151
-46.5,11,2.681038455
-46.5,11.5,2.650503059
-46.5,12,2.619454266
-46.5,12.5,2.587968526
-46.5,13,2.556120124
-46.5,13.5,2.523980915
-46.5,14,2.491620085
-46.5,14.5,2.459103967
-46.5,15,2.426495886
-46.5,15.5,2.393856038
-46.5,16,2.361241409
-46.5,16.5,2.328705725
-46.5,17,2.296299421
-46.5,17.5,2.26406965
-46.5,18,2.232060307
-46.5,18.5,2.200312074
-46.5,19,2.168862483
-46.5,19.5,2.137745997
-46.5,20,2.106994102
-46,-20,2.144266669
-46,-19.5,2.176576863
-46,-19,2.209294453
-46,-18.5,2.242387149
-46,-18,2.275819431
-46,-17.5,2.309552441
-46,-17,2.343543879
-46,-16.5,2.377747924
-46,-16,2.412115166
-46,-15.5,2.446592563
-46,-15,2.481123424
-46,-14.5,2.515647419
-46,-14,2.55010062
-46,-13.5,2.584415578
-46,-13,2.618521439
-46,-12.5,2.652344095
-46,-12,2.685806386
-46,-11.5,2.718828342
-46,-11,2.751327466
-46,-10.5,2.783219074
-46,-10,2.814416671
-46,-9.5,2.844832373
-46,-9,2.874377377
-46,-8.5,2.902962458
-46,-8,2.930498514
-46,-7.5,2.956897126
-46,-7,2.982071155
-46,-6.5,3.00593534
-46,-6,3.028406923
-46,-5.5,3.049406254
-46,-5,3.068857412
-46,-4.5,3.086688789
-46,-4,3.102833669
-46,-3.5,3.117230769
-46,-3,3.12982474
-46,-2.5,3.140566628
-46,-2,3.149414288
-46,-1.5,3.156332735
-46,-1,3.161294446
-46,-0.5,3.16427959
-46,0,3.165276199
-46,0.5,3.164280274
-46,1,3.16129581
-46,1.5,3.156334774
-46,2,3.149416991
-46,2.5,3.140569984
-46,3,3.129828733
-46,3.5,3.11723538
-46,4,3.102838878
-46,4.5,3.086694572
-46,5,3.068863745
-46,5.5,3.04941311
-46,6,3.028414273
-46,6.5,3.005943155
-46,7,2.982079403
-46,7.5,2.956905777
-46,8,2.930507534
-46,8.5,2.902971816
-46,9,2.874387039
-46,9.5,2.844842308
-46,10,2.814426847
-46,10.5,2.78322946
-46,11,2.75133803
-46,11.5,2.718839055
-46,12,2.68581722
-46,12.5,2.652355022
-46,13,2.618532433
-46,13.5,2.584426614
-46,14,2.550111674
-46,14.5,2.515658469
-46,15,2.481134449
-46,15.5,2.446603543
-46,16,2.412126084
-46,16.5,2.377758763
-46,17,2.343554623
-46,17.5,2.309563077
-46,18,2.275829945
-46,18.5,2.24239753
-46,19,2.209304691
-46,19.5,2.176586948
-46,20,2.144276593
-45.5,-20,2.18274602
-45.5,-19.5,2.21669501
-45.5,-19,2.251098432
-45.5,-18.5,2.285923285
-45.5,-18,2.321133071
-45.5,-17.5,2.35668766
-45.5,-17,2.39254317
-45.5,-16.5,2.428651855
-45.5,-16,2.464962021
-45.5,-15.5,2.501417958
-45.5,-15,2.537959909
-45.5,-14.5,2.574524054
-45.5,-14,2.611042544
-45.5,-13.5,2.647443567
-45.5,-13,2.683651453
-45.5,-12.5,2.719586832
-45.5,-12,2.755166834
-45.5,-11.5,2.790305346
-45.5,-11,2.824913312
-45.5,-10.5,2.858899098
-45.5,-10,2.892168902
-45.5,-9.5,2.924627215
-45.5,-9,2.956177336
-45.5,-8.5,2.986721929
-45.5,-8,3.016163624
-45.5,-7.5,3.044405648
-45.5,-7,3.071352486
-45.5,-6.5,3.096910566
-45.5,-6,3.120988947
-45.5,-5.5,3.143500019
-45.5,-5,3.164360189
-45.5,-4.5,3.183490552
-45.5,-4,3.20081754
-45.5,-3.5,3.21627353
-45.5,-3,3.229797421
-45.5,-2.5,3.241335145
-45.5,-2,3.250840139
-45.5,-1.5,3.25827374
-45.5,-1,3.263605524
-45.5,-0.5,3.266813566
-45.5,0,3.267884635
-45.5,0.5,3.266814306
-45.5,1,3.263606999
-45.5,1.5,3.258275945
-45.5,2,3.250843062
-45.5,2.5,3.241338772
-45.5,3,3.229801734
-45.5,3.5,3.21627851
-45.5,4,3.200823162
-45.5,4.5,3.183496793
-45.5,5,3.164367019
-45.5,5.5,3.143507409
-45.5,6,3.120996865
-45.5,6.5,3.096918978
-45.5,7,3.07136136
-45.5,7.5,3.044414947
-45.5,8,3.016173314
-45.5,8.5,2.986731973
-45.5,9,2.956187699
-45.5,9.5,2.924637861
-45.5,10,2.892179797
-45.5,10.5,2.858910208
-45.5,11,2.824924603
-45.5,11.5,2.790316786
-45.5,12,2.755178393
-45.5,12.5,2.719598479
-45.5,13,2.683663161
-45.5,13.5,2.647455308
-45.5,14,2.611054294
-45.5,14.5,2.574535788
-45.5,15,2.537971605
-45.5,15.5,2.501429597
-45.5,16,2.464973582
-45.5,16.5,2.428663322
-45.5,17,2.392554527
-45.5,17.5,2.356698892
-45.5,18,2.321144164
-45.5,18.5,2.285934228
-45.5,19,2.251109215
-45.5,19.5,2.216705623
-45.5,20,2.182756455
-45,-20,2.222445298
-45,-19.5,2.258117232
-45,-19,2.294295264
-45,-18.5,2.330945803
-45,-18,2.368031474
-45,-17.5,2.40551096
-45,-17,2.44333885
-45,-16.5,2.481465502
-45,-16,2.51983693
-45,-15.5,2.558394715
-45,-15,2.59707594
-45,-14.5,2.635813163
-45,-14,2.674534428
-45,-13.5,2.713163315
-45,-13,2.75161904
-45,-12.5,2.789816606
-45,-12,2.827667007
-45,-11.5,2.865077496
-45,-11,2.901951901
-45,-10.5,2.938191018
-45,-10,2.973693054
-45,-9.5,3.008354134
-45,-9,3.042068868
-45,-8.5,3.07473097
-45,-8,3.106233921
-45,-7.5,3.136471686
-45,-7,3.165339451
-45,-6.5,3.192734391
-45,-6,3.218556456
-45,-5.5,3.242709151
-45,-5,3.265100319
-45,-4.5,3.285642901
-45,-4,3.304255668
-45,-3.5,3.32086391
-45,-3,3.335400088
-45,-2.5,3.347804414
-45,-2,3.358025378
-45,-1.5,3.366020203
-45,-1,3.371755216
-45,-0.5,3.375206152
-45,0,3.376358364
-45,0.5,3.375206953
-45,1,3.371756814
-45,1.5,3.366022589
-45,2,3.358028541
-45,2.5,3.347808337
-45,3,3.335404753
-45,3.5,3.320869294
-45,4,3.304261744
-45,4.5,3.285649642
-45,5,3.265107692
-45,5.5,3.242717124
-45,6,3.218564993
-45,6.5,3.192743457
-45,7,3.165349006
-45,7.5,3.136481692
-45,8,3.106244339
-45,8.5,3.07474176
-45,9,3.042079991
-45,9.5,3.008365551
-45,10,2.973704727
-45,10.5,2.938202911
-45,11,2.901963976
-45,11.5,2.865089719
-45,12,2.827679345
-45,12.5,2.789829026
-45,13,2.751631513
-45,13.5,2.713175811
-45,14,2.674546921
-45,14.5,2.635825628
-45,15,2.597088352
-45,15.5,2.558407054
-45,16,2.519849175
-45,16.5,2.481477635
-45,17,2.443350855
-45,17.5,2.405522822
-45,18,2.368043179
-45,18.5,2.330957339
-45,19,2.294306621
-45,19.5,2.2581284
-45,20,2.222456269
-44.5,-20,2.263385583
-44.5,-19.5,2.300868511
-44.5,-19,2.338914252
-44.5,-18.5,2.377488775
-44.5,-18,2.416553965
-44.5,-17.5,2.456067428
-44.5,-17,2.495982308
-44.5,-16.5,2.536247122
-44.5,-16,2.576805608
-44.5,-15.5,2.617596612
-44.5,-15,2.658553988
-44.5,-14.5,2.699606548
-44.5,-14,2.740678047
-44.5,-13.5,2.781687215
-44.5,-13,2.822547844
-44.5,-12.5,2.863168929
-44.5,-12,2.903454878
-44.5,-11.5,2.943305777
-44.5,-11,2.982617737
-44.5,-10.5,3.021283304
-44.5,-10,3.059191944
-44.5,-9.5,3.096230597
-44.5,-9,3.1322843
-44.5,-8.5,3.167236876
-44.5,-8,3.200971678
-44.5,-7.5,3.233372385
-44.5,-7,3.264323838
-44.5,-6.5,3.293712906
-44.5,-6,3.32142937
-44.5,-5.5,3.347366811
-44.5,-5,3.3714235
-44.5,-4.5,3.393503251
-44.5,-4,3.413516259
-44.5,-3.5,3.431379879
-44.5,-3,3.447019359
-44.5,-2.5,3.460368505
-44.5,-2,3.471370269
-44.5,-1.5,3.479977261
-44.5,-1,3.486152176
-44.5,-0.5,3.489868123
-44.5,0,3.49110887
-44.5,0.5,3.489868991
-44.5,1,3.486153907
-44.5,1.5,3.479979847
-44.5,2,3.471373696
-44.5,2.5,3.460372755
-44.5,3,3.447024411
-44.5,3.5,3.431385706
-44.5,4,3.413522834
-44.5,4.5,3.393510541
-44.5,5,3.37143147
-44.5,5.5,3.347375424
-44.5,6,3.321438585
-44.5,6.5,3.293722685
-44.5,7,3.264334137
-44.5,7.5,3.233383162
-44.5,8,3.200982888
-44.5,8.5,3.167248477
-44.5,9,3.132296249
-44.5,9.5,3.096242851
-44.5,10,3.059204461
-44.5,10.5,3.021296044
-44.5,11,2.982630659
-44.5,11.5,2.943318844
-44.5,12,2.903468054
-44.5,12.5,2.863182181
-44.5,13,2.822561137
-44.5,13.5,2.78170052
-44.5,14,2.740691334
-44.5,14.5,2.699619792
-44.5,15,2.658567163
-44.5,15.5,2.617609696
-44.5,16,2.57681858
-44.5,16.5,2.536259962
-44.5,17,2.495995001
-44.5,17.5,2.456079957
-44.5,18,2.416566317
-44.5,18.5,2.377500937
-44.5,19,2.338926214
-44.5,19.5,2.300880263
-44.5,20,2.263397118
-44,-20,2.305586185
-44,-19.5,2.34497214
-44,-19,2.384983129
-44,-18.5,2.425584868
-44,-18,2.466738666
-44,-17.5,2.508401199
-44,-17,2.550524287
-44,-16.5,2.593054687
-44,-16,2.635933914
-44,-15.5,2.679098075
-44,-15,2.722477751
-44,-14.5,2.765997898
-44,-14,2.809577813
-44,-13.5,2.853131136
-44,-13,2.896565918
-44,-12.5,2.939784754
-44,-12,2.98268498
-44,-11.5,3.025158955
-44,-11,3.067094416
-44,-10.5,3.108374917
-44,-10,3.148880355
-44,-9.5,3.188487577
-44,-9,3.227071063
-44,-8.5,3.264503699
-44,-8,3.3006576
-44,-7.5,3.335405013
-44,-7,3.368619251
-44,-6.5,3.400175681
-44,-6,3.429952719
-44,-5.5,3.457832846
-44,-5,3.483703608
-44,-4.5,3.507458597
-44,-4,3.528998392
-44,-3.5,3.548231453
-44,-3,3.565074941
-44,-2.5,3.579455479
-44,-2,3.591309809
-44,-1.5,3.600585376
-44,-1,3.607240799
-44,-0.5,3.61124625
-44,0,3.612583722
-44,0.5,3.611247192
-44,1,3.607242679
-44,1.5,3.600588183
-44,2,3.591313528
-44,2.5,3.579460089
-44,3,3.565080419
-44,3.5,3.548237769
-44,4,3.529005515
-44,4.5,3.50746649
-44,5,3.483712232
-44,5.5,3.457842159
-44,6,3.429962678
-44,6.5,3.40018624
-44,7,3.368630363
-44,7.5,3.33541663
-44,8,3.300669675
-44,8.5,3.264516183
-44,9,3.22708391
-44,9.5,3.188500738
-44,10,3.148893786
-44,10.5,3.108388572
-44,11,3.067108253
-44,11.5,3.025172933
-44,12,2.98269906
-44,12.5,2.939798899
-44,13,2.896580093
-44,13.5,2.853145307
-44,14,2.809591951
-44,14.5,2.766011974
